word, count
ša,4855
šarru,3053
ana,2828
bēlu,2742
ina,2740
šību,2101
mā,1435
lū,1127
lā,1114
gimru,969
māru,933
alāku,762
šapāru,702
manû,699
ūmu,697
ardu,675
tadānu,668
bītu,625
šulmu,624
ṣarpu,568
u,555
eqlu,536
libbu,507
imēru,494
išti,477
adi,476
qabû,467
nišu,456
epēšu,452
dabābu,443
ištu,440
muhhu,399
pānu,397
kunukku,393
annû,389
leqû,356
qû,349
dīnu,323
šakānu,321
immeru,297
pīhātu,268
wabālu,257
kī,257
ṣābu,249
anāku,249
šumma,246
līmu,246
sinništu,245
ṭāhu,245
kaspu,242
našû,239
hurāṣu,237
târu,235
šiqlu,228
sisû,227
rabû,226
ūma,221
napištu,213
kirû,200
ikkaru,196
laššu,195
ṭupšarru,194
Aššur,194
dullu,190
alpu,189
mannu,189
annûri,186
Nabu,182
ēkallu,178
biltu,174
šū,173
qātu,169
erēbu,168
ahu,168
karābu,167
ṭēmu,162
ilu,162
šaknu,158
ālu,155
ša-qurbūti,153
gammuru,146
tadnu,146
mātu,143
adanniš,142
kusāpu,140
šâlu,136
šuāti,136
ištēn,135
Ninua,133
mīnu,131
šanû,130
sahāru,126
šunu,126
dannu,125
šemû,124
aṣû,124
meʾatu,122
wadû,121
awīlu,121
zarpu,118
amāru,116
gabbu,116
Ištar,113
bašû,112
Mat-Aššur,109
ša-rēši,109
gabdi,108
akī,107
ṭābu,106
KI.MIN,102
atā,101
ṣabātu,99
egertu,98
buʾʾû,97
mārtu,97
pû,94
arhu,93
šattu,91
maṣṣartu,89
mahāru,89
Marduk,88
kurummatu,87
šikaru,87
Kalhu,86
qabūtu,84
erû,83
izuzzu,83
akālu,82
pūtu,82
tillatu,82
muk,81
birtu,80
sāmu,79
tašlīšu,78
nukaribbu,78
elû,78
šawiru,78
šangû,78
karānu,78
kaptukkû,78
imittu,76
parāku,76
ammar,74
paqādu,74
hūlu,74
nuk,74
šēpu,73
palāhu,72
šappatu,72
memēni,71
abu,71
awātu,69
šūtu,69
burku,69
Bel,67
issurri,67
zaqāpu,67
nāru,67
āšibu,67
eršu,67
Dur-Šarruken,65
bīt,65
halāqu,64
sulukannu,64
zēru,63
annaka,63
kīma,62
atta,62
ammatu,61
mašennu,61
aklu,61
qannu,59
Arbail,59
ginû,59
sallu,59
etēqu,58
Aššuraya,58
damqu,58
rabiu,57
zakû,56
kūm,56
šamnu,56
šumu,55
qaqqadu,55
tamkāru,55
naṣāru,55
maštītu,55
ašābu,54
qerēbu,53
karāru,53
šīru,53
birti,53
ša-šēpi,53
Tašritu,52
Harranu,52
emūqu,51
maddattu,51
ramû,51
balāṭu,51
adru,51
Šamaš,50
kalû,50
īnu,50
šaṭāru,49
kamsu,49
kullu,49
mādu,49
Libbi-ali,49
qaqqaru,49
hazannu,49
šušānu,49
azamru,49
gamāru,48
rēʾû,48
ṭuppu,48
šamaššammū,48
ṣupru,48
Elamtu,48
kitû,47
rēhtu,47
Mullissu,47
matāhu,46
gušūru,46
anīnu,45
tibnu,45
Ayaru,45
šukkallu,45
rēšu,45
yābilu,45
nishu,45
Nabu-šarru-uṣur,45
Sin,44
Adad,44
amtu,44
Arrapha,44
Urdu-Issar,44
peṣû,44
maziu,44
rebû,44
dâku,43
Nisannu,43
šarrūtu,43
lēʾu,42
nakru,42
sūtu,42
qallu,41
mû,41
Babili,41
šalmu,40
ṣalmu,40
Inurta,40
Deru,40
nasāhu,39
šaplu,39
šalšu,39
kāru,39
dišpu,39
arkû,39
kiššatu,39
ēpû,38
šalāmu,38
eleppu,38
kânu,38
Kakkullanu,38
ēkurru,37
nagû,37
abnu,37
ramānu,37
qadūtu,37
irtu,36
mahru,36
dibbu,36
arhiš,36
šadû,36
tartānu,36
sakru,36
šuʾu,36
līm,35
Kiṣir-Aššur,35
namāšu,35
dūru,35
mugerru,34
Gargamis,34
arādu,34
magāru,34
emēdu,34
pēmu,34
rūṭu,33
parzillu,33
ilku,33
daltu,33
kapru,33
atānu,33
maqātu,32
saddinu,32
rakāsu,32
aladlammû,32
abullu,32
Šarru-emuranni,32
Ubru-Nabu,32
kurkû,32
rubû,32
yâšim,31
hīṭu,31
qabaltu,31
eššu,31
Simanu,31
adû,31
petû,31
mesû,31
qablu,31
lītu,31
dannutu,31
Kanunayu,31
atû,30
mītu,30
kittu,30
būrtu,30
Ṭebetu,30
ummu,30
urnatu,30
Marduk-šarru-uṣur,30
ṣuhurtu,30
hubtu,29
batāqu,29
batqu,29
šī,29
Ṭab-šar-Aššur,29
Ṭab-ṣil-Ešarra,29
Elulu,29
ša-pēthalli,29
nusāhu,29
erēšu,28
ummiānu,28
redû,28
udīni,28
pahāru,28
hašlātu,28
Nabuʾa,28
Issar-duri,28
ṭīdu,28
Enlil,28
Bel-duri,27
epšu,27
ṭābtu,27
Addaru,27
mišlu,27
Šabaṭu,27
sukannīnu,27
sīrāšû,27
ṣibtu,27
andahšu,27
Sasi,27
Adad-nerari,27
ištēniš,26
arku,26
nāgiru,26
ša-pān-ēkalli,26
Nabu-belu-kaʾʾin,26
iškāru,26
dagālu,26
kūdanu,26
supurgillu,26
akalu,26
hinhinu,26
arqu,26
Il-yadaʾ,26
kašādu,25
mâtu,25
Sin-ahhe-eriba,25
šiddu,25
ṭūbu,25
unqu,25
tibku,25
pilku,25
têrtu,25
Nani,25
maqāṭu,25
serdu,25
ukultu,25
mūšabu,25
šeršerratu,25
nadānu,25
Raṣappa,24
ammiu,24
kīnu,24
šumēlu,24
pānû,24
libittu,24
rupšu,24
Arbailayu,24
lawû,24
karšu,24
šuqultu,24
